Seed,Retention,Recovery,Compliance,BehavioralCost
1,97.54,4.727030625832223,44.75886637636168,114.89203740357655
2,97.26,4.682274247491638,44.511872825445856,115.6335049394852
3,97.74000000000001,4.228187919463087,44.710342102474,115.1391131657241
4,97.16,5.333333333333334,44.70595482119665,114.89620113657197
5,97.48,4.6966731898238745,44.80450553081461,114.35256311521002
6,97.8,5.185704274702172,44.93262332027913,114.68181737686471
7,97.34,5.0237610319076715,44.65180303021209,115.28130845476234
8,97.6,4.695767195767195,44.589360911932914,115.5395599097327
9,97.78,4.220779220779221,44.615928984618385,114.97943840388955
10,97.34,5.1020408163265305,44.6169804448785,115.68516010928069
11,97.34,6.014540647719762,44.71634419729919,114.8201674136346
12,96.86,4.993252361673414,44.6188455335918,115.38345447502513
13,97.44,4.6073977936404935,44.73035016536851,114.63902065658196
14,97.94,5.239327296248383,44.72129666986981,114.69432112832281
15,97.2,5.666666666666666,44.70509856416596,114.96394392114892
16,97.84,4.645161290322581,44.67055808716711,114.62795464939829
17,97.3,5.533333333333333,44.87626465160873,114.52507064177432
18,97.34,5.08582326764145,44.38563491622479,115.45408239070127
19,97.92,4.223521767381416,44.61972844662579,115.10339956025577
20,97.52,5.191256830601093,44.981538511113484,114.5570740542596
